Community,Size,Top_betweenness_Node,betweenness_Value,Top_closeness_Node,closeness_Value,Top_degree_Node,degree_Value,Top_eigenvector_Node,eigenvector_Value,Top_pagerank_Node,pagerank_Value,Top_authority_Node,authority_Value,Top_hub_Node,hub_Value,Top_constraint_Node,constraint_Value,Top_eccentricity_Node,eccentricity_Value,Top_degree_centrality_Node,degree_centrality_Value
2,60,1382,25297.402731775626,681,0.0796485260770975,30,16,1382,0.011761687929384729,30,0.0028563267779017063,1382,0.011761687929385055,1382,0.011761687929384961,30,0.09312432459963152,143,33.0,30,0.011339475549255847
6,59,50,237141.51932311,146,0.09356063128454419,50,18,146,0.14489779470201053,50,0.00305442099411168,146,0.1448977947020106,146,0.14489779470201056,50,0.09141524785894262,146,30.0,50,0.012756909992912827
9,51,91,27896.837381764144,84,0.09579980908223101,1301,14,84,0.016545180254589044,1301,0.002379832869890761,84,0.01654518025459015,84,0.01654518025458998,1301,0.0970893854563119,548,25.0,1301,0.009922041105598866
7,48,92,497558.64545441855,92,0.10490554767415815,92,27,92,0.05787981299271696,92,0.004118908818424797,92,0.05787981299272049,92,0.057879812992719944,92,0.07012653577917473,72,24.0,92,0.01913536498936924
12,47,134,34980.23784673495,883,0.09462553879310345,1302,10,883,0.002673624928673189,1302,0.0018763579666497777,883,0.0026736249286734015,883,0.0026736249286733486,1302,0.15049784580498868,883,25.0,1302,0.007087172218284904
11,45,728,453586.88307450054,728,0.10008548226243054,728,13,728,0.3072528649716747,1117,0.002194151937364681,728,0.3072528649716756,728,0.3072528649716756,1117,0.11001877401578633,728,28.0,728,0.009213323883770375
17,45,1397,25008.27106834528,1053,0.09068026332773978,1053,9,1053,3.5845021398564256e-05,1285,0.0017882171108353833,1053,3.584502139849604e-05,1053,3.584502139846672e-05,226,0.15140625,226,27.0,1053,0.0063784549964564135
19,38,1235,28070.286381093996,788,0.08114820376573871,1235,13,788,4.5185706523984126e-07,1235,0.0023851164549564476,788,4.5185706519319304e-07,788,4.51857065192397e-07,1235,0.14587626591289596,788,30.0,1235,0.009213323883770375
4,30,624,39904.333333333336,624,0.05101114620774788,944,13,624,4.207292107919146e-08,944,0.002109491570967082,624,4.207292101469386e-08,624,4.20729210302096e-08,944,0.17063609467455623,624,42.0,944,0.009213323883770375
18,29,351,25604.48385895132,1074,0.08245305164319248,801,9,1074,5.835584020233483e-07,801,0.0016898466438035181,1074,5.835584019967078e-07,1074,5.835584019947618e-07,801,0.13104623330813805,240,30.0,801,0.0063784549964564135
20,25,1011,33108.1750798223,1011,0.09071539256198347,1011,11,1011,3.79519689326016e-05,1011,0.002195083752401911,1011,3.795196893253823e-05,1011,3.79519689325327e-05,1011,0.10288349261413235,866,27.0,1011,0.007795889440113395
22,21,1272,24152.47414905356,1272,0.05188522471287714,385,4,1272,3.054378815743632e-13,385,0.001026028542101599,1272,3.054943578730722e-13,1272,3.054780491283649e-13,386,0.3333333333333333,1272,40.0,385,0.002834868887313962
21,16,1409,12966.361693191691,1057,0.08468957203134418,352,8,1057,1.7186836557151686e-06,352,0.0018081481859008885,1057,1.7186836557136196e-06,1057,1.7186836557044418e-06,352,0.19994791666666664,1057,29.0,352,0.005669737774627924
16,5,642,1.5,642,0.8,642,3,642,2.030571856939006e-17,642,0.0008714379971870321,642,1.3678538203351065e-17,213,9.772705462090533e-18,642,0.3333333333333333,213,2.0,642,0.002126151665485471
25,1,895,0.0,895,,895,0,895,1.392525815775039e-19,895,0.00010629628317390289,895,0.0,895,0.0,895,,895,0.0,895,0.0
