edge,longitude,latitude,betweenness,road_type
start_1077872706 - end_1077872706,76.67975064999999,28.2528058,5.064652312631668e-08,track
start_1190611898 - end_1190611898,76.8735719,28.26328295,5.064652312631668e-08,unclassified
start_1077867028 - end_1077867028,76.7258056,28.2625438,5.064652312631668e-08,service
start_152852296 - end_152852296,76.83216329999999,28.266399149999998,5.064652312631668e-08,living_street
start_1076813173 - end_1076813173,76.64316825,28.26293755,5.064652312631668e-08,residential
start_184517929 - end_184517929,76.65143435,28.2472876,5.064652312631668e-08,residential
start_184517957 - end_184517957,76.6505626,28.24644995,5.064652312631668e-08,residential
start_1076490435 - end_1076490435,76.5533511,28.26372455,5.064652312631668e-08,track
start_1078097981 - end_1078097981,76.67773145,28.259045,5.064652312631668e-08,residential
start_1076477050 - end_1076477050,76.54225174999999,28.2625661,5.064652312631668e-08,residential
start_1075952823 - end_1075952823,76.59764455,28.26704115,5.064652312631668e-08,residential
start_752321275 - end_752321275,76.7408231,28.26966505,5.064652312631668e-08,residential
start_1076744707 - end_1076744707,76.7406486,28.24201335,5.064652312631668e-08,residential
start_1081663504 - end_1081663504,76.83649270000001,28.261775999999998,5.064652312631668e-08,residential
start_162108201 - end_162108201,76.5638785,28.256740100000002,5.064652312631668e-08,unclassified
start_1077936330 - end_1077936330,76.8598346,28.26239395,5.064652312631668e-08,residential
start_1076518229 - end_1076518229,76.6635102,28.24067755,5.064652312631668e-08,service
start_1075965318 - end_1075965318,76.5987648,28.27010535,5.064652312631668e-08,residential
start_1078103521 - end_1078103521,76.6814986,28.274039549999998,5.064652312631668e-08,residential
start_1077943476 - end_1077943476,76.692842,28.256878299999997,5.064652312631668e-08,track
start_1079355308 - end_1079355308,76.8028671,28.247069000000003,5.064652312631668e-08,service
start_1078123292 - end_1078123292,76.8995272,28.26098465,5.064652312631668e-08,residential
start_1076529993 - end_1076529993,76.66185675,28.2464179,5.064652312631668e-08,service
start_1081657662 - end_1081657662,76.8402328,28.2750408,5.064652312631668e-08,service
start_1076250249 - end_1076250249,76.5224623,28.2567664,5.064652312631668e-08,residential
start_1076540266 - end_1076540266,76.56881425,28.2679794,5.064652312631668e-08,residential
start_1077893182 - end_1077893182,76.69075860000001,28.24482695,5.064652312631668e-08,residential
