node_id,Betweenness Centrality,Eigenvector Centrality,Closeness Centrality,PageRank,Degree,Community
1057,6494.638306808093,1.718683655774681e-06,0.08468957203134418,0.0004939486188420251,2,19
1058,0.0,0.0007843890521474504,0.08356131794932795,0.00025078613598872036,1,7
1059,208.57697122708734,0.0013713071931889531,0.08359612066400904,0.0005651833473683397,3,7
1060,3469.5805903601477,0.0011564101112270363,0.08365086925458443,0.0010771160809629847,6,7
1061,0.0,3.728648172167037e-05,0.07740193918025562,0.0004083298532005361,2,11
1062,10930.819006760521,0.040898015365594,0.0932192144373673,0.0014006124123394784,7,12
1063,78.92582972582974,0.00012983025863490407,0.0755782678859602,0.0004593238400617165,2,9
1064,12225.088080333962,0.3470992816497063,0.09105048279437496,0.00193678776050966,12,5
1065,151.0191137839303,0.00698795216701556,0.08930273946481918,0.0006193073614469882,3,12
1066,985.1806677320892,7.195307626900045e-06,0.08330862733471688,0.0006899390956959275,3,8
1067,0.0,0.07011567592211733,0.09099740932642487,0.0003914161627653361,2,10
1068,0.0,0.04915798578796173,0.09099740932642487,0.00040698430848746874,2,10
1069,1.5,0.0009071227160157073,0.07873353880638835,0.0005068275034893606,2,12
1070,6.766666666666666,0.0009134600300729043,0.08349179938198241,0.00043447670713821413,2,12
1071,4508.411447304986,0.010991801755325681,0.09539652362846279,0.0006823080822755573,4,7
1072,466.8910256410399,0.001289622864867648,0.08644026085886551,0.0007603290522290284,4,7
1073,6339.04707792208,4.4443018578950967e-07,0.07991581821284341,0.0005163820528983618,2,18
1074,24782.862752720837,5.83558402042981e-07,0.08245305164319248,0.000422311753032124,2,17
1075,19.374747474747476,2.225879303164777e-06,0.0770792187842879,0.00044642099055527783,2,8
1076,0.75,2.430449581399128e-10,0.06489907155064899,0.0006325104622426328,3,14
1077,0.5,1.9517753794406002e-09,0.06788095468161175,0.0006556595517507809,3,14
1078,1572.668506420145,3.413780610957258e-08,0.07312756987456409,0.0011365339198431102,6,18
1079,10.003907203907207,3.790155729451393e-05,0.05931022837603951,0.0006051431285602649,3,0
1080,0.5,4.378472680651974e-05,0.062375138734739176,0.0006836215098274222,3,0
1081,0.0,0.00018209477093364054,0.06645539684041245,0.0002609768222447601,1,0
1082,0.0,4.667109820519511e-05,0.06239452882138734,0.00043225665769566746,2,0
1083,14639.417233256936,8.389529135071617e-16,0.04502195020347999,0.0008387674938072093,3,20
1084,0.0,0.00021560919594352048,0.0664585402771865,0.00043389608741122303,2,0
1085,708.9380952380956,7.774465711435256e-05,0.06310069163747417,0.0006624874856876748,3,3
1086,2.8,4.20791367089644e-05,0.05956418517890453,0.0006301865760641314,3,3
1087,381.5433635808638,7.376984566924384e-05,0.06284947439051666,0.00043050269807967835,2,0
1088,0.0,0.00021659856484178546,0.06646482804295378,0.0004404587378599532,2,0
1089,49.523258208040815,0.00010894604592840433,0.06575252714339198,0.0004671368552164704,2,0
1090,0.5,1.9351109937575545e-05,0.05936285279702552,0.00049892425507512,2,3
1091,13.666666666666666,5.38896914149284e-14,0.049046987362982616,0.0006849170962568163,3,21
1092,1047.7554487179482,4.361301157836878e-13,0.051593713278495885,0.0005883673339599548,3,21
1093,9.080036630036629,2.6589472358583144e-13,0.04912072160262909,0.0005913747264888612,3,21
1094,2743.7357142857145,1.7226734488640673e-13,0.049428320140721196,0.0010791337191967338,6,22
1095,2806.0,3.847430662783313e-18,0.03969711524877801,0.0008817553528951416,3,20
1096,32048.88775498969,7.667781445777472e-13,0.05197543651968038,0.0024362086057694724,15,22
1097,610.0804101127628,2.1677513005921e-05,0.0748734345856648,0.0009878822619043388,5,11
1098,20098.238193321053,2.3272524074705966e-09,0.06869407910819929,0.0014103571341967625,7,14
1099,15.928571428571427,1.903697408022266e-13,0.04943179819160539,0.00039603808125767206,2,22
1100,10.416666666666666,0.0032271017812432316,0.08620689655172414,0.000410461028822194,2,12
